dir,protein_1,protein_2,RMSD after refinement,Number of aligned atoms after refinement,Number of refinement cycles,RMSD before refinement,Number of aligned atoms before refinement,Raw alignment score,Number of residues aligned
3FTx,Hh03G008612,Hh03G023188,2.749581575,326,5,4.560577393,396,143.5,57
3FTx,Hh03G008612,Hh03G023189,3.371767998,340,5,4.95531559,396,143.5,57
3FTx,Hh03G008612,Hh03G023190,2.749581814,326,5,4.560576916,396,143.5,57
3FTx,Hh03G008612,HhUnG022166,9.114022255,190,5,11.80782223,211,62.5,30
3FTx,Hh03G008612,HhUnG023191,2.749579668,326,5,4.560575962,396,143.5,57
3FTx,Hh03G008612,HhUnG023192,3.371771812,340,5,4.955319881,396,143.5,57
3FTx,Hh03G008631,Hh03G023188,5.468468666,270,5,13.12506008,343,211,47
3FTx,Hh03G008631,Hh03G023189,5.77620697,276,5,13.1162281,343,211,47
3FTx,Hh03G008631,Hh03G023190,5.468467236,270,5,13.12505436,343,211,47
3FTx,Hh03G023188,Hh03G023189,0.064010739,428,5,1.159748554,615,450,81
3FTx,Hh03G023188,HhUnG023192,0.064009584,428,5,1.159751296,615,450,81
3FTx,Hh03G023189,Hh03G023190,0.064011663,428,5,1.159751058,615,450,81
3FTx,Hh03G023189,HhUnG023191,0.064009808,428,5,1.159751296,615,450,81
3FTx,Hh03G023190,HhUnG023192,0.064010479,428,5,1.159753561,615,450,81
3FTx,HhUnG022166,HhUnG023192,9.305157661,245,4,11.65546608,266,199,34
3FTx,HhUnG023191,HhUnG023192,0.064008504,428,5,1.159753919,615,450,81
CRISP,Hh01G000001,Hh01G002297,0.2978881,887,5,16.65111542,1166,752,150
CRISP,Hh01G000001,Hh02G004717,0.666125655,48,5,2.098571062,68,28,11
CRISP,Hh01G000001,Hh03G008934,0.604700804,489,5,3.509507418,662,144.5,100
CRISP,Hh01G000001,Hh03G008935,0.833743811,431,5,10.2212534,677,139.5,98
CRISP,Hh01G000001,Hh03G010271,0.868750513,551,5,12.53363514,835,167,126
CRISP,Hh01G000001,Hh03G010642,1.308936715,535,5,16.89271927,809,147,123
CRISP,Hh01G000001,Hh04G012535,0.557143509,502,5,3.526120424,690,150,104
CRISP,Hh01G000001,Hh05G015075,1.740740418,480,5,5.013229847,643,129.5,96
CRISP,Hh01G000001,Hh10G019333,0.531510651,505,5,4.572869301,703,155.5,106
CRISP,Hh01G000001,HhUnG022429,1.318338275,534,5,15.40411472,809,147,123
CRISP,Hh01G000001,HhUnG022502,0.542518497,564,5,10.15999126,802,503.5,103
CRISP,Hh01G000001,HhUnG022504,0.423527718,47,5,2.028065443,68,28,11
CRISP,Hh01G002297,Hh03G008934,0.6478737,459,5,3.520565987,623,131,94
CRISP,Hh01G002297,Hh03G008935,0.912995577,441,5,10.09485912,666,130.5,98
CRISP,Hh01G002297,Hh03G010271,1.395187736,606,5,11.65840149,821,153.5,124
CRISP,Hh01G002297,Hh04G012535,0.695153594,539,5,4.579596996,807,154,121
CRISP,Hh01G002297,Hh05G015075,1.916637301,488,5,9.443424225,673,130,101
CRISP,Hh01G002297,Hh10G019333,0.56004554,466,5,3.518923283,674,139.5,102
CRISP,Hh01G002297,HhUnG022429,1.270172238,543,5,16.65006447,802,140.5,123
CRISP,Hh01G002297,HhUnG022502,0.74256444,593,5,14.88125896,872,479,117
CRISP,Hh01G002297,HhUnG022505,0.761989176,602,5,14.84394836,882,498,117
CRISP,Hh02G004717,Hh03G008934,6.325481892,215,5,7.448644638,229,73.5,38
CRISP,Hh02G004717,Hh03G010271,5.58449316,263,5,8.299113274,314,75.5,51
CRISP,Hh02G004717,HhUnG022429,7.480564117,318,5,12.91280174,408,88,67
CRISP,Hh02G004717,HhUnG022502,0.831166983,407,5,4.446549892,593,278,92
CRISP,Hh02G004717,HhUnG022505,0.768998682,406,5,4.48345089,597,276,92
CRISP,Hh03G008934,Hh03G010271,0.692901731,866,5,9.854925156,1320,329,201
CRISP,Hh03G008934,Hh04G012535,1.315350294,949,5,16.47485733,1378,366.5,206
CRISP,Hh03G008934,Hh05G015075,0.731258512,514,5,4.458281517,806,110,123
CRISP,Hh03G008934,HhUnG022429,0.671845913,1201,5,11.13790798,1535,699,219
CRISP,Hh03G008934,HhUnG022502,2.213237047,757,5,18.48605919,1156,198,179
CRISP,Hh03G008934,HhUnG022504,4.034045696,182,5,7.522603035,229,73.5,38
CRISP,Hh03G008934,HhUnG022505,0.786500454,585,5,7.382769108,933,188.5,147
CRISP,Hh03G008935,Hh03G010642,0.52570343,981,5,7.43753624,1427,644,201
CRISP,Hh03G008935,Hh04G012535,0.60301286,786,5,6.201559067,1116,334,168
CRISP,Hh03G008935,Hh05G015075,1.151510835,547,5,7.050889969,845,123,130
CRISP,Hh03G008935,Hh10G019333,0.422210157,1143,5,21.35795021,1570,729.5,223
CRISP,Hh03G008935,HhUnG022429,0.437955707,1220,5,8.995159149,1723,836,244
CRISP,Hh03G008935,HhUnG022502,0.808872104,553,5,8.935119629,801,196.5,122
CRISP,Hh03G008935,HhUnG022505,0.771591842,545,5,8.952596664,796,192.5,122
CRISP,Hh03G010271,Hh03G010642,0.548010647,621,5,3.498400211,881,229.5,132
CRISP,Hh03G010271,Hh04G012535,0.735198021,953,5,14.03743935,1445,370,223
CRISP,Hh03G010271,Hh10G019333,0.486077279,811,5,6.763292313,1183,321.5,181
CRISP,Hh03G010271,HhUnG022429,0.540214658,766,5,3.213909864,1074,295,164
CRISP,Hh03G010271,HhUnG022502,0.76351279,642,5,5.157101154,918,217.5,142
CRISP,Hh03G010271,HhUnG022504,5.715108395,267,5,8.141112328,314,76.5,51
CRISP,Hh03G010271,HhUnG022505,0.776671529,634,5,5.100678444,906,199.5,142
CRISP,Hh03G010642,Hh04G012535,1.134939075,708,5,20.06835938,1008,237.5,147
CRISP,Hh03G010642,Hh10G019333,0.968756199,1041,5,20.47213364,1305,556,181
CRISP,Hh03G010642,HhUnG022429,0.2107822,1140,5,4.414432049,1682,1143,205
CRISP,Hh03G010642,HhUnG022502,0.64116323,445,5,4.869139194,656,145,100
CRISP,Hh04G012535,Hh05G015075,2.041548967,646,5,5.831039429,913,111.5,144
CRISP,Hh04G012535,Hh10G019333,1.284085274,894,5,18.37854004,1316,348,196
CRISP,Hh04G012535,HhUnG022429,0.799420238,842,5,18.35412788,1200,331,178
CRISP,Hh04G012535,HhUnG022502,0.59489733,540,5,3.622702122,794,203.5,125
CRISP,Hh04G012535,HhUnG022505,0.596747279,540,5,3.594132423,788,204.5,125
CRISP,Hh05G015075,Hh10G019333,1.685629606,623,5,5.251870155,878,149,134
CRISP,Hh05G015075,HhUnG022502,0.541710317,460,5,3.671599388,684,164,107
CRISP,Hh05G015075,HhUnG022504,3.045623064,111,5,7.868053436,152,35,27
CRISP,Hh05G015075,HhUnG022505,0.582092762,458,5,3.683605433,681,167,107
CRISP,Hh10G019333,HhUnG022429,0.586350679,1176,5,19.41293716,1520,708,213
CRISP,Hh10G019333,HhUnG022502,0.65167737,568,5,5.168689251,829,200.5,130
CRISP,Hh10G019333,HhUnG022505,1.46075809,672,5,10.29645348,1015,203.5,161
CRISP,HhUnG022429,HhUnG022502,0.80228734,589,5,4.49682045,830,194,130
CRISP,HhUnG022429,HhUnG022504,5.821643829,287,5,15.32695675,404,80,67
CRISP,HhUnG022429,HhUnG022505,0.747745097,579,5,4.494928837,831,197,130
CRISP,HhUnG022502,HhUnG022504,1.441852927,447,5,4.870350361,593,279,92
CRISP,HhUnG022502,HhUnG022505,0.179205313,1155,5,0.979090333,1496,1035,200
CRISP,HhUnG022504,HhUnG022505,1.493559003,451,5,4.864085674,597,277,92
LIP,Hh01G001449,Hh02G007394,13.76965237,322,5,14.51515484,333,41.5,49
LIP,Hh01G001449,Hh02G008398,39.93423843,1136,1,39.93423843,1136,50.5,187
LIP,Hh01G002258,Hh02G007394,18.63357162,853,4,20.30484772,889,38,138
LIP,Hh01G002258,Hh02G008398,18.50909615,1022,5,19.04346085,1039,49.5,165
LIP,Hh02G007394,Hh02G008398,1.066653013,1031,5,12.27662182,1640,346.5,257
LIP,Hh02G007641,Hh02G008398,6.984215736,2250,5,9.181887627,2489,741,364
3FTx,Hh02G004177,Hh03G008612,6.128624439,112,5,7.049367905,121,23,20
3FTx,Hh02G004177,Hh03G008631,7.979068279,199,5,13.41247654,243,103,34
3FTx,Hh02G004177,Hh03G023188,3.410803795,160,4,3.709809303,167,70.5,28
3FTx,Hh02G004177,Hh03G023189,3.412606716,159,3,3.715122461,166,65.5,28
3FTx,Hh02G004177,HhUnG022166,12.42542171,219,4,15.80162907,243,103,34
3FTx,Hh02G004177,HhUnG023191,3.410803795,160,4,3.709809065,167,70.5,28
3FTx,Hh02G005288,Hh03G023188,3.98226738,138,5,4.86900425,153,55.5,26
3FTx,Hh02G005288,Hh03G023189,4.037145615,138,5,4.857517719,152,50.5,26
3FTx,Hh02G005288,Hh03G023190,3.982264519,138,5,4.868999958,153,55.5,26
3FTx,Hh02G005288,HhUnG023192,4.037144184,138,5,4.857516289,152,50.5,26
3FTx,Hh03G008612,Hh03G008631,7.331498623,243,5,12.9387846,288,68.5,43
3FTx,Hh03G008612,Hh03G023188,2.74958086,326,5,4.560576439,396,143.5,57
3FTx,Hh03G008612,Hh03G023189,3.371767759,340,5,4.955315113,396,143.5,57
3FTx,Hh03G008612,Hh03G023190,2.749581575,326,5,4.560576439,396,143.5,57
3FTx,Hh03G008612,HhUnG022166,9.114022255,190,5,11.80782318,211,62.5,30
3FTx,Hh03G008612,HhUnG023191,2.749578714,326,5,4.560574532,396,143.5,57
3FTx,Hh03G008631,Hh03G023188,5.46846962,270,5,13.12505913,343,211,47
3FTx,Hh03G008631,HhUnG023191,5.468467712,270,5,13.12505531,343,211,47
3FTx,Hh03G008631,HhUnG023192,5.776208401,276,5,13.1162281,343,211,47
3FTx,Hh03G023188,Hh03G023189,0.064011052,428,5,1.159748912,615,450,81
3FTx,Hh03G023188,HhUnG023192,0.064009406,428,5,1.159751534,615,450,81
3FTx,Hh03G023189,Hh03G023190,0.064011537,428,5,1.159750819,615,450,81
3FTx,Hh03G023189,HhUnG022166,9.305157661,245,4,11.65546513,266,199,34
3FTx,Hh03G023189,HhUnG023191,0.064009711,428,5,1.159751892,615,450,81
3FTx,Hh03G023190,HhUnG022166,9.315703392,245,4,11.75077629,266,199,34
3FTx,Hh03G023190,HhUnG023192,0.064010032,428,5,1.159753919,615,450,81
3FTx,HhUnG023191,HhUnG023192,0.064008236,428,5,1.159754395,615,450,81
CRISP,Hh01G000001,Hh01G002297,0.297887862,887,5,16.65111542,1166,752,150
CRISP,Hh01G000001,Hh03G008934,0.604700506,489,5,3.509507418,662,144.5,100
CRISP,Hh01G000001,Hh03G008935,0.833743751,431,5,10.22125435,677,139.5,98
CRISP,Hh01G000001,Hh03G010271,0.868750632,551,5,12.53363609,835,167,126
CRISP,Hh01G000001,Hh03G010642,1.308936954,535,5,16.89271927,809,147,123
CRISP,Hh01G000001,Hh05G015075,1.740740657,480,5,5.013230324,643,129.5,96
CRISP,Hh01G000001,Hh10G019333,0.531510234,505,5,4.572868824,703,155.5,106
CRISP,Hh01G000001,HhUnG022429,1.318338394,534,5,15.40411568,809,147,123
CRISP,Hh01G000001,HhUnG022502,0.542518675,564,5,10.15999222,802,503.5,103
CRISP,Hh01G000001,HhUnG022504,0.423528105,47,5,2.02806592,68,28,11
CRISP,Hh01G000001,HhUnG022505,0.531035841,555,5,10.40602207,789,490.5,103
CRISP,Hh01G002297,Hh02G004717,14.23645401,407,5,16.98228645,440,32,68
CRISP,Hh01G002297,Hh03G008934,0.647872984,459,5,3.520565987,623,131,94
CRISP,Hh01G002297,Hh03G008935,0.91299516,441,5,10.09485912,666,130.5,98
CRISP,Hh01G002297,Hh03G010271,1.395187616,606,5,11.65840054,821,153.5,124
CRISP,Hh01G002297,Hh04G012535,0.695153356,539,5,4.579596519,807,154,121
CRISP,Hh01G002297,Hh05G015075,1.916637063,488,5,9.443424225,673,130,101
CRISP,Hh01G002297,Hh10G019333,0.560045302,466,5,3.518922806,674,139.5,102
CRISP,Hh01G002297,HhUnG022429,1.270172358,543,5,16.65006447,802,140.5,123
CRISP,Hh01G002297,HhUnG022502,0.742564082,593,5,14.88125515,872,479,117
CRISP,Hh01G002297,HhUnG022505,0.761988997,602,5,14.8439455,882,498,117
CRISP,Hh02G004717,Hh03G008934,6.325481415,215,5,7.448644161,229,73.5,38
CRISP,Hh02G004717,Hh03G010271,5.584493637,263,5,8.299114227,314,75.5,51
CRISP,Hh02G004717,Hh05G015075,3.698900461,144,4,4.144323349,152,34,27
CRISP,Hh02G004717,HhUnG022429,7.480564594,318,5,12.91280174,408,88,67
CRISP,Hh02G004717,HhUnG022502,0.831166208,407,5,4.446550369,593,278,92
CRISP,Hh02G004717,HhUnG022505,0.768998265,406,5,4.48345089,597,276,92
CRISP,Hh03G008934,Hh03G010271,0.692901313,866,5,9.854925156,1320,329,201
CRISP,Hh03G008934,Hh03G010642,0.698768556,1005,5,10.66946793,1321,554,187
CRISP,Hh03G008934,Hh05G015075,0.731258512,514,5,4.45828104,806,110,123
CRISP,Hh03G008934,HhUnG022502,2.213236809,757,5,18.48605728,1156,198,179
CRISP,Hh03G008934,HhUnG022505,0.786500156,585,5,7.382769108,933,188.5,147
CRISP,Hh03G008935,Hh03G010271,0.69166851,868,5,16.44902611,1254,285.5,189
CRISP,Hh03G008935,Hh03G010642,0.525703549,981,5,7.437536716,1427,644,201
CRISP,Hh03G008935,Hh04G012535,0.603013277,786,5,6.201559067,1116,334,168
CRISP,Hh03G008935,Hh05G015075,1.151510596,547,5,7.050889969,845,123,130
CRISP,Hh03G008935,Hh10G019333,0.422210306,1143,5,21.3579483,1570,729.5,223
CRISP,Hh03G008935,HhUnG022429,0.43795535,1220,5,8.995159149,1723,836,244
CRISP,Hh03G008935,HhUnG022502,0.808872223,553,5,8.935119629,801,196.5,122
CRISP,Hh03G008935,HhUnG022505,0.771591723,545,5,8.952596664,796,192.5,122
CRISP,Hh03G010271,Hh03G010642,0.548010886,621,5,3.498399973,881,229.5,132
CRISP,Hh03G010271,Hh04G012535,0.735197544,953,5,14.03743744,1445,370,223
CRISP,Hh03G010271,Hh10G019333,0.486077517,811,5,6.763292313,1183,321.5,181
CRISP,Hh03G010271,HhUnG022429,0.540214956,766,5,3.213910103,1074,295,164
CRISP,Hh03G010271,HhUnG022502,0.763512909,642,5,5.157101154,918,217.5,142
CRISP,Hh03G010271,HhUnG022505,0.776671529,634,5,5.100678921,906,199.5,142
CRISP,Hh03G010642,Hh04G012535,1.134939313,708,5,20.06835747,1008,237.5,147
CRISP,Hh03G010642,Hh05G015075,1.002150655,487,5,5.870357037,770,103.5,120
CRISP,Hh03G010642,Hh10G019333,0.968756139,1041,5,20.47213554,1305,556,181
CRISP,Hh03G010642,HhUnG022429,0.210782006,1140,5,4.414432049,1682,1143,205
CRISP,Hh03G010642,HhUnG022502,0.64116329,445,5,4.869138718,656,145,100
CRISP,Hh04G012535,Hh05G015075,2.041549206,646,5,5.831038952,913,111.5,144
CRISP,Hh04G012535,HhUnG022429,0.799420357,842,5,18.35412598,1200,331,178
CRISP,Hh04G012535,HhUnG022502,0.594896972,540,5,3.622701406,794,203.5,125
CRISP,Hh04G012535,HhUnG022505,0.596746981,540,5,3.594132185,788,204.5,125
CRISP,Hh05G015075,Hh10G019333,1.685629368,623,5,5.251870155,878,149,134
CRISP,Hh05G015075,HhUnG022429,0.926414549,563,5,5.823281765,889,117,139
CRISP,Hh05G015075,HhUnG022504,3.045623064,111,5,7.868052959,152,35,27
CRISP,Hh05G015075,HhUnG022505,0.582092643,458,5,3.683605671,681,167,107
CRISP,Hh10G019333,HhUnG022429,0.586350381,1176,5,19.41293716,1520,708,213
CRISP,Hh10G019333,HhUnG022502,0.651676893,568,5,5.168688774,829,200.5,130
CRISP,HhUnG022429,HhUnG022502,0.802287638,589,5,4.49682045,830,194,130
CRISP,HhUnG022429,HhUnG022504,5.821643829,287,5,15.3269577,404,80,67
CRISP,HhUnG022429,HhUnG022505,0.747745275,579,5,4.494929314,831,197,130
CRISP,HhUnG022502,HhUnG022504,1.441852808,447,5,4.870350361,593,279,92
CRISP,HhUnG022502,HhUnG022505,0.17920509,1155,5,0.979090214,1496,1035,200
CRISP,HhUnG022504,HhUnG022505,1.493558645,451,5,4.864085674,597,277,92
LIP,Hh01G001449,Hh03G009331,20.74347878,925,3,20.96105194,931,44.5,145
LIP,Hh01G002258,Hh02G007394,18.63357162,853,4,20.30484581,889,38,138
LIP,Hh01G002258,Hh03G009331,18.21655464,920,3,18.84223557,938,74.5,145
LIP,Hh02G007394,Hh03G009331,15.99706173,294,1,15.99706173,294,43.5,47
LIP,Hh02G007641,Hh03G009331,18.22785187,939,5,21.30443001,1006,54,159
LIP,Hh02G008398,Hh03G009331,12.00414181,581,5,13.35946941,611,44.5,98
3FTx,Hh02G004177,Hh03G008612,6.128625393,112,5,7.049369335,121,23,20
3FTx,Hh02G004177,Hh03G008631,7.979068756,199,5,13.41247654,243,103,34
3FTx,Hh02G004177,Hh03G023188,3.410802841,160,4,3.70980835,167,70.5,28
3FTx,Hh02G004177,Hh03G023189,3.412606478,159,3,3.715121984,166,65.5,28
3FTx,Hh02G004177,Hh03G023190,3.410802126,160,4,3.709807158,167,70.5,28
3FTx,Hh02G004177,HhUnG023191,3.410802603,160,4,3.70980835,167,70.5,28
3FTx,Hh02G004177,HhUnG023192,3.412605286,159,3,3.715120792,166,65.5,28
3FTx,Hh02G005288,Hh03G008612,6.788813114,119,3,6.983099937,121,24,20
3FTx,Hh02G005288,Hh03G008631,14.82145786,315,5,15.48649979,323,30,56
3FTx,Hh02G005288,Hh03G023188,3.982267618,138,5,4.86900425,153,55.5,26
3FTx,Hh02G005288,Hh03G023189,4.037146568,138,5,4.857518196,152,50.5,26
3FTx,Hh02G005288,Hh03G023190,3.98226428,138,5,4.868999481,153,55.5,26
3FTx,Hh02G005288,HhUnG023191,3.982265949,138,5,4.869001865,153,55.5,26
3FTx,Hh03G008612,Hh03G008631,7.331497669,243,5,12.9387846,288,68.5,43
3FTx,Hh03G008612,Hh03G023188,2.749581099,326,5,4.560576439,396,143.5,57
3FTx,Hh03G008612,Hh03G023189,3.371767759,340,5,4.955314636,396,143.5,57
3FTx,Hh03G008612,Hh03G023190,2.749581099,326,5,4.560575485,396,143.5,57
3FTx,Hh03G008612,HhUnG022166,9.114021301,190,5,11.80782127,211,62.5,30
3FTx,Hh03G008612,HhUnG023191,2.749579191,326,5,4.560574532,396,143.5,57
3FTx,Hh03G008612,HhUnG023192,3.371772289,340,5,4.955318928,396,143.5,57
3FTx,Hh03G008631,Hh03G023188,5.468468666,270,5,13.12505817,343,211,47
3FTx,Hh03G008631,HhUnG023191,5.468467236,270,5,13.12505436,343,211,47
3FTx,Hh03G008631,HhUnG023192,5.77620697,276,5,13.11622715,343,211,47
3FTx,Hh03G023188,Hh03G023189,0.064010911,428,5,1.159749269,615,450,81
3FTx,Hh03G023188,HhUnG022166,9.315702438,245,4,11.7507782,266,199,34
3FTx,Hh03G023188,HhUnG023192,0.064009279,428,5,1.159751534,615,450,81
3FTx,Hh03G023189,Hh03G023190,0.064011499,428,5,1.159751773,615,450,81
3FTx,Hh03G023189,HhUnG023191,0.06400983,428,5,1.159752131,615,450,81
3FTx,Hh03G023190,HhUnG022166,9.315701485,245,4,11.75077534,266,199,34
3FTx,Hh03G023190,HhUnG023192,0.06400986,428,5,1.159754157,615,450,81
3FTx,HhUnG023191,HhUnG023192,0.064008154,428,5,1.159754634,615,450,81
CRISP,Hh01G000001,Hh01G002297,0.297887832,887,5,16.6511116,1166,752,150
CRISP,Hh01G000001,Hh02G004717,0.666124582,48,5,2.098571777,68,28,11
CRISP,Hh01G000001,Hh03G008934,0.604700685,489,5,3.509507895,662,144.5,100
CRISP,Hh01G000001,Hh03G010271,0.868750811,551,5,12.53363419,835,167,126
CRISP,Hh01G000001,Hh04G012535,0.557143629,502,5,3.526120186,690,150,104
CRISP,Hh01G000001,Hh10G019333,0.531510055,505,5,4.572869301,703,155.5,106
CRISP,Hh01G000001,HhUnG022429,1.318338633,534,5,15.40411568,809,147,123
CRISP,Hh01G000001,HhUnG022502,0.542519331,564,5,10.15999222,802,503.5,103
CRISP,Hh01G000001,HhUnG022504,0.423527956,47,5,2.028066635,68,28,11
CRISP,Hh01G000001,HhUnG022505,0.53103596,555,5,10.40602207,789,490.5,103
CRISP,Hh01G002297,Hh03G008934,0.647873759,459,5,3.520565987,623,131,94
CRISP,Hh01G002297,Hh03G008935,0.912995338,441,5,10.09485817,666,130.5,98
CRISP,Hh01G002297,Hh03G010271,1.395187974,606,5,11.65840054,821,153.5,124
CRISP,Hh01G002297,Hh04G012535,0.695153415,539,5,4.579596519,807,154,121
CRISP,Hh01G002297,Hh10G019333,0.560045242,466,5,3.518923283,674,139.5,102
CRISP,Hh01G002297,HhUnG022502,0.742564261,593,5,14.88125515,872,479,117
CRISP,Hh01G002297,HhUnG022505,0.761988699,602,5,14.84394455,882,498,117
CRISP,Hh02G004717,Hh03G008934,6.325480938,215,5,7.448644161,229,73.5,38
CRISP,Hh02G004717,Hh03G010271,5.584494114,263,5,8.299115181,314,75.5,51
CRISP,Hh02G004717,HhUnG022429,7.480564117,318,5,12.9128027,408,88,67
CRISP,Hh02G004717,HhUnG022502,0.831166029,407,5,4.446549892,593,278,92
CRISP,Hh02G004717,HhUnG022504,3.959825993,818,5,12.26665878,1189,841,152
CRISP,Hh02G004717,HhUnG022505,0.768998563,406,5,4.483449936,597,276,92
CRISP,Hh03G008934,Hh03G008935,0.625953853,1227,5,12.81552887,1652,804.5,233
CRISP,Hh03G008934,Hh03G010271,0.692901611,866,5,9.854924202,1320,329,201
CRISP,Hh03G008934,Hh03G010642,0.698768735,1005,5,10.66946793,1321,554,187
CRISP,Hh03G008934,Hh04G012535,1.315350175,949,5,16.47485352,1378,366.5,206
CRISP,Hh03G008934,Hh05G015075,0.731258631,514,5,4.45828104,806,110,123
CRISP,Hh03G008934,HhUnG022429,0.671845675,1201,5,11.13790703,1535,699,219
CRISP,Hh03G008934,HhUnG022504,4.034046173,182,5,7.522603989,229,73.5,38
CRISP,Hh03G008934,HhUnG022505,0.786500335,585,5,7.382768631,933,188.5,147
CRISP,Hh03G008935,Hh04G012535,0.603013277,786,5,6.201559544,1116,334,168
CRISP,Hh03G008935,Hh10G019333,0.422210306,1143,5,21.35795021,1570,729.5,223
CRISP,Hh03G008935,HhUnG022429,0.43795526,1220,5,8.995158195,1723,836,244
CRISP,Hh03G010271,Hh03G010642,0.548011124,621,5,3.498399973,881,229.5,132
CRISP,Hh03G010271,Hh04G012535,0.735197186,953,5,14.03743649,1445,370,223
CRISP,Hh03G010271,Hh10G019333,0.486077845,811,5,6.763292789,1183,321.5,181
CRISP,Hh03G010271,HhUnG022429,0.540214896,766,5,3.213910103,1074,295,164
CRISP,Hh03G010271,HhUnG022502,0.763512671,642,5,5.157101154,918,217.5,142
CRISP,Hh03G010271,HhUnG022504,5.715109348,267,5,8.141112328,314,76.5,51
CRISP,Hh03G010271,HhUnG022505,0.776671648,634,5,5.100678921,906,199.5,142
CRISP,Hh03G010642,Hh04G012535,1.134939432,708,5,20.06835747,1008,237.5,147
CRISP,Hh03G010642,Hh05G015075,1.002151132,487,5,5.870357037,770,103.5,120
CRISP,Hh03G010642,Hh10G019333,0.96875596,1041,5,20.47213364,1305,556,181
CRISP,Hh03G010642,HhUnG022429,0.210781798,1140,5,4.414431095,1682,1143,205
CRISP,Hh03G010642,HhUnG022502,0.641163409,445,5,4.869138718,656,145,100
CRISP,Hh03G010642,HhUnG022505,0.599208117,437,5,4.874024868,657,147,100
CRISP,Hh04G012535,Hh05G015075,2.041549444,646,5,5.831038475,913,111.5,144
CRISP,Hh04G012535,Hh10G019333,1.284085035,894,5,18.37854004,1316,348,196
CRISP,Hh04G012535,HhUnG022429,0.799420416,842,5,18.35412598,1200,331,178
CRISP,Hh04G012535,HhUnG022502,0.594896793,540,5,3.622701406,794,203.5,125
CRISP,Hh04G012535,HhUnG022505,0.5967471,540,5,3.594132185,788,204.5,125
CRISP,Hh05G015075,HhUnG022429,0.926414669,563,5,5.823281765,889,117,139
CRISP,Hh05G015075,HhUnG022505,0.582092345,458,5,3.683605909,681,167,107
CRISP,Hh10G019333,HhUnG022429,0.586350203,1176,5,19.41293526,1520,708,213
CRISP,Hh10G019333,HhUnG022502,0.651676953,568,5,5.168688774,829,200.5,130
CRISP,Hh10G019333,HhUnG022504,9.3048172,360,5,15.92026711,451,86.5,75
CRISP,Hh10G019333,HhUnG022505,1.46075809,672,5,10.29645538,1015,203.5,161
CRISP,HhUnG022429,HhUnG022502,0.802287579,589,5,4.49682045,830,194,130
CRISP,HhUnG022429,HhUnG022504,5.821644306,287,5,15.3269577,404,80,67
CRISP,HhUnG022429,HhUnG022505,0.747745574,579,5,4.49492979,831,197,130
CRISP,HhUnG022502,HhUnG022504,1.44185257,447,5,4.870350361,593,279,92
CRISP,HhUnG022502,HhUnG022505,0.17920512,1155,5,0.979090214,1496,1035,200
CRISP,HhUnG022504,HhUnG022505,1.493558049,451,5,4.864084721,597,277,92
LIP,Hh01G001449,Hh03G009331,20.74347687,925,3,20.96105194,931,44.5,145
LIP,Hh01G001449,Hh04G011659,27.34089851,2541,4,27.77429199,2565,63.5,401
LIP,Hh01G002258,Hh02G007641,13.1916008,245,5,15.1637373,265,49.5,38
LIP,Hh01G002258,Hh03G009331,18.21655464,920,3,18.84223747,938,74.5,145
LIP,Hh01G002258,Hh04G011659,20.56195831,1307,5,21.21495247,1333,55,211
LIP,Hh02G007394,Hh02G007641,1.005224109,1374,5,9.928889275,2105,442.5,328
LIP,Hh02G007394,Hh02G008398,1.066652894,1031,5,12.27662182,1640,346.5,257
LIP,Hh02G007394,Hh04G011659,1.37125814,1382,5,17.55820847,2045,353.5,315
LIP,Hh02G007641,Hh04G011659,1.991780519,1339,5,9.211706161,1892,353.5,287
LIP,Hh02G008398,Hh04G011659,7.669252872,1282,5,15.07655334,1712,300.5,264
LIP,Hh03G009331,Hh04G011659,19.67926025,1187,5,20.29664803,1208,63,194
3FTx,Hh02G004177,Hh03G008612,6.128624916,112,5,7.049368858,121,23,20
3FTx,Hh02G004177,Hh03G023188,3.410802603,160,4,3.709808111,167,70.5,28
3FTx,Hh02G004177,Hh03G023189,3.412606478,159,3,3.715122223,166,65.5,28
3FTx,Hh02G004177,Hh03G023190,3.410801649,160,4,3.709806919,167,70.5,28
3FTx,Hh02G004177,HhUnG022166,12.42542267,219,4,15.80162716,243,103,34
3FTx,Hh02G004177,HhUnG023191,3.410802603,160,4,3.709808111,167,70.5,28
3FTx,Hh02G005288,Hh03G008612,6.788812637,119,3,6.983098984,121,24,20
3FTx,Hh02G005288,Hh03G023188,3.982267141,138,5,4.869003773,153,55.5,26
3FTx,Hh02G005288,Hh03G023189,4.037147045,138,5,4.857518196,152,50.5,26
3FTx,Hh02G005288,Hh03G023190,3.982263803,138,5,4.868999004,153,55.5,26
3FTx,Hh02G005288,HhUnG023191,3.982265711,138,5,4.869001389,153,55.5,26
3FTx,Hh03G008612,Hh03G008631,7.331498623,243,5,12.93878269,288,68.5,43
3FTx,Hh03G008612,Hh03G023188,2.749581814,326,5,4.560577393,396,143.5,57
3FTx,Hh03G008612,Hh03G023190,2.74958086,326,5,4.560575008,396,143.5,57
3FTx,Hh03G008612,HhUnG022166,9.114020348,190,5,11.80782032,211,62.5,30
3FTx,Hh03G008612,HhUnG023191,2.749579906,326,5,4.560575485,396,143.5,57
3FTx,Hh03G008612,HhUnG023192,3.371773243,340,5,4.955319881,396,143.5,57
