Gene ID	Chromosome	Start	End	Strand	"Length of the
representative protein"	Closest homolog	abbr
HhUnG022079	Scaffold20	1103209	1138290	-	142	veficolin-1-like [Thamnophis sirtalis]|ref|XP_013908244.1	Veficolin
HhUnG022162	Scaffold24	776466	807162	-	533	putative phospholipase B-like 2 [Notechis scutatus]|ref|XP_026540386.1	PLB
HhUnG022163	Scaffold24	806975	837720	+	568	putative phospholipase B-like 2 [Notechis scutatus]|ref|XP_026540386.1	PLB
HhUnG022166	Scaffold25	474531	481700	+	117	Short neurotoxin SN160 OS=Hydrophis hardwickii OX=8781 PE=3 SV=1|sp|Q8UW27|3S116_HYDHA	3FTx
HhUnG022176	Scaffold26	114886	115551	+	104	natriuretic peptides A-like [Pseudonaja textilis]|ref|XP_026577004.1	NP
HhUnG022177	Scaffold26	118465	120751	+	135	natriuretic peptides A-like [Pseudonaja textilis]|ref|XP_026576981.1	NP
HhUnG022178	Scaffold26	128573	139356	+	175	natriuretic peptides A-like [Notechis scutatus]|ref|XP_026546873.1	NP
HhUnG022311	Scaffold35	124889	128991	-	264	ryncolin-3-like isoform X3 [Notechis scutatus]|ref|XP_026542112.1	Veficolin
HhUnG022314	Scaffold35	155719	162777	+	139	ryncolin-3-like isoform X1 [Notechis scutatus]|ref|XP_026542110.1	Veficolin
HhUnG022315	Scaffold35	170016	246595	+	156	veficolin-1-like [Thamnophis sirtalis]|ref|XP_013908244.1	Veficolin
HhUnG022429	Scaffold49	261304	272682	+	248	peptidase inhibitor R3HDML [Pseudonaja textilis]|ref|XP_026553090.1	CRISP
HhUnG022443	Scaffold52	75212	155477	-	1621	venom factor [Austrelaps superbus]|gb|AAX86641.1	VF
HhUnG022444	Scaffold52	170925	270564	-	1608	A.superbus venom factor 1 OS=Austrelaps superbus OX=29156 PE=1 SV=1|sp|Q0ZZJ6|VCO31_AUSSU	VF
HhUnG022445	Scaffold52	289384	322843	-	802	A.superbus venom factor 1 OS=Austrelaps superbus OX=29156 PE=1 SV=1|sp|Q0ZZJ6|VCO31_AUSSU	VF
HhUnG022502	Scaffold63	26645	78255	-	80	Cysteine-rich venom protein 1 OS=Hydrophis hardwickii OX=8781 PE=2 SV=2|sp|Q8UW25|CRVP1_HYDHA	CRISP
HhUnG022504	Scaffold63	149383	167403	+	152	cysteine-rich venom protein pseudechetoxin-like [Notechis scutatus]|ref|XP_026546646.1	CRISP
HhUnG022505	Scaffold63	280200	313746	+	110	Cysteine-rich venom protein 2 OS=Hydrophis hardwickii OX=8781 PE=2 SV=2|sp|Q8UW11|CRVP2_HYDHA	CRISP
Hh03G023188	Chr3	6113210	6117957	+	81	Short neurotoxin 1 OS=Hydrophis hardwickii OX=8781 PE=1 SV=2|sp|P68416|	3FTx
Hh03G023189	Chr3	6142065	6146806	+	81	Short neurotoxin 1 OS=Hydrophis hardwickii OX=8781 PE=1 SV=2|sp|P68416|	3FTx
Hh03G023190	Chr3	6170823	6182186	+	81	Short neurotoxin 1 OS=Hydrophis hardwickii OX=8781 PE=1 SV=2|sp|P68416|	3FTx
HhUnG023191	Scaffold25	308046	319416	-	81	Short neurotoxin 1 OS=Hydrophis hardwickii OX=8781 PE=1 SV=2|sp|P68416|	3FTx
HhUnG023192	Scaffold25	343430	348226	-	81	Short neurotoxin 1 OS=Hydrophis hardwickii OX=8781 PE=1 SV=2|sp|P68416|	3FTx
